index,x,y,z,B_x,B_y,B_z
190,98.2,-167.25,-154.28000000000003,-0.144804,-0.80615,-2.12436
191,98.2,-167.25,-134.28,-0.182409,-0.731304,-2.12284
193,98.2,-247.25,-194.28,0.406276,-1.081632,-2.68872
194,98.2,-247.25,-154.28000000000003,0.06509880000000001,-0.825356,-2.5295799999999997
195,98.2,-247.25,-134.28,-0.0490034,-0.7228859999999999,-2.4728
197,98.2,-287.25,-194.28,0.5766600000000001,-1.00714,-3.00074
198,98.2,-287.25,-154.28000000000003,0.1248224,-0.75148,-2.73486
199,98.2,-287.25,-134.28,-0.008117000000000001,-0.658062,-2.64474
201,98.2,-327.25,-194.28,0.7654340000000001,-0.779554,-3.30304
202,98.2,-327.25,-154.28000000000003,0.24595999999999998,-0.579176,-2.9273
203,98.2,-327.25,-134.28,0.0653866,-0.515362,-2.80396
0,-1.8000000000000007,32.75,-45.78,-0.476896,-0.377896,-2.03504
1,-1.8000000000000007,32.75,-5.779999999999973,-0.371318,-0.35457,-2.09416
2,-1.8000000000000007,32.75,34.22000000000003,-0.26628,-0.325922,-2.1416
3,-1.8000000000000007,32.75,74.22000000000003,-0.1475476,-0.29663,-2.1783
4,-1.8000000000000007,32.75,114.22000000000003,-0.0411784,-0.260594,-2.20326
5,-1.8000000000000007,-7.25,-45.78,-0.42819,-0.393932,-2.04922
6,-1.8000000000000007,-7.25,-5.779999999999973,-0.337424,-0.37434,-2.1133
7,-1.8000000000000007,-7.25,34.22000000000003,-0.243602,-0.34528400000000004,-2.16638
8,-1.8000000000000007,-7.25,74.22000000000003,-0.1439098,-0.315066,-2.20664
9,-1.8000000000000007,-7.25,114.22000000000003,-0.0419292,-0.277592,-2.2361
10,-1.8000000000000007,-47.25,-45.78,-0.384368,-0.4152,-2.06702
11,-1.8000000000000007,-47.25,-5.779999999999973,-0.311802,-0.393636,-2.1381
12,-1.8000000000000007,-47.25,34.22000000000003,-0.233832,-0.358906,-2.19658
13,-1.8000000000000007,-47.25,74.22000000000003,-0.13647720000000002,-0.324422,-2.2415
14,-1.8000000000000007,-47.25,114.22000000000003,-0.043208800000000006,-0.285084,-2.27268
15,-1.8000000000000007,-87.25,-45.78,-0.35375,-0.446754,-2.0846
