cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
76,1565396381,1565396385,152.05,-146.13,167.25,1.436728,0.000231991,1.119054,0.000234585,0.13759960000000002,0.000136583
77,1565396393,1565396397,152.05,-106.13000000000001,167.25,1.14677,0.000526878,1.486644,0.000548525,0.346024,0.002609115
78,1565396406,1565396410,152.05,-66.13000000000001,167.25,0.991542,0.00107169,1.7898599999999998,0.00024207400000000003,0.45257200000000003,0.002297916
79,1565396418,1565396422,152.05,-26.129999999999995,167.25,0.8696719999999999,0.001492337,2.04874,0.000541295,0.515192,0.000776318
80,1565396432,1565396436,152.05,13.870000000000005,167.25,0.762108,0.002344775,2.2707,0.00043011599999999997,0.540664,0.000861789
81,1565396466,1565396470,152.05,-146.13,127.25,1.3941059999999998,0.00057204,1.330962,0.00041372699999999996,0.23392800000000002,0.001110032
82,1565396474,1565396478,152.05,-106.13000000000001,127.25,1.116388,7.3621e-05,1.6057700000000001,7.4162e-05,0.34672,0.00017776400000000001
83,1565396485,1565396489,152.05,-66.13000000000001,127.25,0.96286,0.001535741,1.8617099999999998,0.00014628700000000002,0.44084399999999996,0.004123176
84,1565396496,1565396500,152.05,-26.129999999999995,127.25,0.83714,0.0017497860000000001,2.08592,0.000549545,0.49734399999999995,0.000525956
85,1565396505,1565396509,152.05,13.870000000000005,127.25,0.724174,0.003297814,2.27996,0.000650385,0.520654,0.00043391199999999995
86,1565396580,1565396584,152.05,-146.13,87.25,1.140482,6.4187e-05,1.374652,8.7864e-05,0.245552,9.782600000000001e-05
87,1565396589,1565396593,152.05,-106.13000000000001,87.25,1.02873,0.000161555,1.6947459999999999,0.0006707680000000001,0.314042,0.003747602
88,1565396598,1565396602,152.05,-66.13000000000001,87.25,0.910926,0.000810235,1.9337919999999997,0.000472144,0.38693,0.0014785629999999998
89,1565396607,1565396611,152.05,-26.129999999999995,87.25,0.8004439999999999,0.0007948139999999999,2.13136,5.4772e-05,0.42143800000000003,0.001998229
90,1565396616,1565396620,152.05,13.870000000000005,87.25,0.6853819999999999,0.000849629,2.2991200000000003,0.000238747,0.44756599999999996,0.000567212
91,1565397043,1565397047,152.05,-146.13,47.25,0.919444,0.000521852,1.412326,0.00024296099999999998,0.154279,0.000606689
92,1565397053,1565397057,152.05,-106.13000000000001,47.25,0.93076,0.001804674,1.7749139999999999,0.000760151,0.23865999999999998,0.000417073
93,1565397061,1565397065,152.05,-66.13000000000001,47.25,0.853334,0.000296193,1.9976880000000001,0.000674292,0.32933,0.003318998
94,1565397071,1565397075,152.05,-26.129999999999995,47.25,0.7558560000000001,6.8775e-05,2.1724799999999997,8.366600000000001e-05,0.365748,0.000899038
